Авдіївка	м. Авдіївка	\бульв. Шевченка\вул. 8 Березня\вул. 9-й квартал\вул. Абрикосова\вул. Белінського\вул. Весняна\вул. Виноградна\вул. Воробйова\вул. Гагаріна\вул. Героїв\вул. Грушевського\вул. Джерельна\вул. Добролюбова\вул. Довіри\вул. Донецька\вул. Дружби\вул. Єлагіна\вул. Заводська\вул. Зелена\вул. Каштанова\вул. Княгині Ольги\вул. Коксохіміків\вул. Колосова\вул. Комунальна\вул. Корольова\вул. Котляревського\вул. Коцюбинського\вул. Красна\вул. Леваневського\вул. Лермонтова\вул. Лесі Українки\вул. Ломоносова\вул. Маяковського\вул. Менделєєва\вул. Металургів\вул. Миру\вул. Молодіжна\вул. Нахімова\вул. Незалежності\вул. Некрасова\вул. Нечаєва\вул. Паркова\вул. Первомайська\вул. Перемоги\вул. Поштова\вул. Пушкіна\вул. Рубінова\вул. Садова\вул. Сапронова\вул. Свободи\вул. Сільгосптехніки\вул. Соборна\вул. Спортивна\вул. Степова\вул. Суворова\вул. Тимірязєва\вул. Тургенєва\вул. Фестивальна\вул. Франка\вул. Центральна\вул. Чайковського\вул. Чепижного\вул. Чернишевського\вул. Чехова\вул. Чистякова\вул. Чкалова\вул. Шевченка\вул. Шестакова\кв-л 9-й квартал\кв-л Будівельників\кв-л Ювілейний\пров. 50-и Річчя АКХЗ\пров. 50-ти Річчя АКХЗ\пров. Аптекарський\пров. Благодатний\пров. Больничний\пров. Гурова\пров. Залізничний\пров. Кар'єрний\пров. Клубний\пров. Козачий\пров. Лісний\пров. Міністерства шляхів та сполучення\пров. Робочий\пров. Світлий\пров. Сєдова\пров. Солов'яненко\пров. Стадіонний\пров. Стрілковий\пров. Суворова\пров. Театральний\пров. Тісний\пров. Толстого\пров. Шкільний\пров. Ясинуватський\проїзд Індустріальний\просп. Центральний
Великоновосілківський	с. Времівка	\вул. Героя\вул. Горна\вул. Кооперативна\вул. Косматенко\вул. Леніна\вул. Мічуріна\вул. Партизанська\вул. Побєди\вул. Шевченка\вул. Широка
Великоновосілківський	с. Георгіївка	\вул. Заморська\вул. Київська\вул. Новоселів\вул. Приморська
Великоновосілківський	с. Запоріжжя	\вул. Нова\вул. Центральна
Великоновосілківський	с. Зелене Поле	\вул. Алавердова\вул. Миру\вул. Молодіжна\вул. Нова\вул. Паралельна\вул. Пушкіна\вул. Центральна\вул. Шевченка\вул. Шкільна\вул. Ювілейна\пров. Шкільний
Великоновосілківський	с. Зелений Кут	\вул. Праці
Великоновосілківський	с. Зірка	\вул. Вишнева
Великоновосілківський	с. Іскра	\вул. Академіка Бондаря\вул. Гагаріна\вул. Гуржія\вул. Калашнікова\вул. Крупської\вул. Миру\вул. Набережна\вул. Центральна\вул. Чкалова\вул. Шевченка\пров. Веселий
Великоновосілківський	с. Комар	\вул. Бекадарова\вул. Бородавко\вул. Васильова\вул. Володіна\вул. Єгорова\вул. Зайцева\вул. Зарічна\вул. Леніна\вул. Мельнична\вул. Набережна\вул. Нагорна\вул. Пантазьєва\вул. Пащенка\вул. Степна\вул. Франка\вул. Фролова\вул. Шкільна
Великоновосілківський	с. Костянтинопіль	\вул. Комарова\вул. Миру\вул. Мічуріна\вул. Сонячна\вул. Трифонова
Великоновосілківський	с. Красна Поляна	\вул. Братів Героїв\вул. Виноградна\вул. Войциха\вул. Гагаріна\вул. Грецька\вул. Григорія Балжи\вул. Заводська\вул. Зарічна\вул. Лесі Українки\вул. Лікарняна\вул. Мала Садова\вул. Матросова\вул. Мічуріна\вул. Набережна\вул. Олександра Невського\вул. Оськіна\вул. Підгорна\вул. Садового Лейтенанта\вул. Східна Застава\вул. Юбілейна\пров. 20 Років Перемоги\пров. Аптечний\пров. Веселий\пров. Кооперативний\пров. Поштовий\пров. Радянський\пров. Шкільний
Великоновосілківський	с. Макарівка	\вул. Дружби\вул. Леніна\вул. Ломоносова\вул. Миру\вул. Пушкіна
Великоновосілківський	с. Малий Керменчик	\вул. Вишнева\вул. Гагаріна
Великоновосілківський	с. Мирне	\вул. Ізобільна\вул. Новотроіцька\вул. Отрадна\вул. Правди\вул. Степна\вул. Тітова\вул. Центральна
Великоновосілківський	с. Нескучне	\вул. Вчительська\вул. Гражданська\вул. Данченко\вул. Колгоспна\вул. Корфа\вул. Матросова\вул. Мирна\вул. Садова\вул. Свободи\пров. Дальній
Великоновосілківський	с. Новопетриківка	\вул. Борисівська\вул. Дачна\вул. Зарічна\вул. Кар'єрна\вул. Квітнева\вул. Миру\вул. Молодіжна\вул. Набережна\вул. Поштова\вул. Садова\вул. Степна\вул. Українська\вул. Центральна\вул. Яр
Великоновосілківський	с. Новопіль	\вул. Гагаріна\вул. Дружби
Великоновосілківський	с. Новоукраїнка	\вул. Шевченка
Великоновосілківський	с. Новохатське	\вул. Горького\вул. Сумська\вул. Тітова
Великоновосілківський	с. Олексіївка	\вул. Берегова\вул. Весела\вул. Воробйова\вул. Гагаріна\вул. Гоголя\вул. Горького\вул. Дружби\вул. Зелена\вул. Колєсніка\вул. Комарова\вул. Маяковського\вул. Миру\вул. Мічуріна\вул. Молодіжна\вул. Набережна\вул. Правди України\вул. Пушкіна\вул. Садова\вул. Свободи\вул. Хмельницького\пров. Мисливський
Великоновосілківський	с. Орлинське	\вул. Космонавтів
Великоновосілківський	с. Піддубне	\вул. Завідовського\вул. Івана Циганка\вул. Київський\вул. Лиманна\вул. Сєрова\вул. Тітова\вул. Щастя\пров. Київський
Великоновосілківський	с. Привільне	\вул. Жуковського\вул. Молодіжна\вул. Нова\вул. Садова\вул. Сєрова\вул. Юбілейна
Великоновосілківський	с. Рівнопіль	\вул. Корольова
Великоновосілківський	с. Старомайорське	\вул. Верхня\вул. Вишнева\вул. Гоголя\вул. Заводська\вул. Задніпровська\вул. Зарічна\вул. Зоряна\вул. Квітуча\вул. Кооперативна\вул. Ломоносова\вул. Миру\вул. Молодіжна\вул. Пушкіна\вул. П'ятихатки\вул. Чапаєва\вул. Шевченка\вул. Шкільна
